"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A0A338P7A0",13.7040116850293,5.30759761760447,133.600678268227,3.62390175914712e-28,5.57356090556827e-25,42.1708375278215
"Q8BMP6",12.7858611057596,4.5477857783662,110.296530858663,1.09415448248081e-26,7.56409133348993e-24,41.3632149149295
"Q91Z67",12.3426302986784,4.47616548052781,108.456626200033,1.47544044216319e-26,7.56409133348993e-24,41.2804662580407
"A0A494B9J3",11.7193888209421,4.33275392767712,103.914537256551,3.15577219598826e-26,1.14140441135868e-23,41.0606526754785
"A0A1B0GSB4",12.9713639243619,4.56243379863556,102.971601134316,3.71067754017778e-26,1.14140441135868e-23,41.0120421420077
"A0A0G2JFX7",11.6088611052369,4.7196690912937,100.715819029852,5.50028898199855e-26,1.4099074090523e-23,40.8912681763431
"H7BX01",11.9421479203949,4.38617215623781,99.2521306796642,7.13428182543521e-26,1.56750363535991e-23,40.8093576777605
"Q9CQJ8",11.093417564388,4.24880163770091,96.4283591489196,1.19138871234541e-25,2.29044479948406e-23,40.6429083490772
"P45591",10.2691266791494,3.91606847750832,95.1138914513198,1.52036528313098e-25,2.59813533939494e-23,40.5614158546864
"Q9D0M5",12.0023932579094,4.42456098369606,90.5744398974465,3.62411941307699e-25,5.57389565731241e-23,40.2585288008096
"P55284",11.0021117764799,4.13246645928994,88.2982342442308,5.69531922365186e-25,7.42981786954713e-23,40.0929951088454
"P50427",11.8454773491937,4.21781810537487,88.2102974628549,5.79699703735797e-25,7.42981786954713e-23,40.0864031005132
"Q8VEC4",11.8693321262959,4.53330842445886,87.3808712825848,6.85592727993781e-25,8.11108935118796e-23,40.0234806714477
"P58137",11.0265385750822,4.07316673803658,85.5979587860405,9.88666939360339e-25,1.08612125195443e-22,39.8835194005669
"Q9JIG7",10.9744145898055,4.1227352878059,84.0725632323831,1.36053444943612e-24,1.31322926422406e-22,39.7584375559902
"Q99J56",10.3597495603223,3.93999647675628,84.0529985968201,1.3661682852786e-24,1.31322926422406e-22,39.7568001068602
"A0A0G2JFV5",10.2027349612057,3.85717653650191,83.4538931102492,1.55117981648218e-24,1.40336150455858e-22,39.7062419769413
"Q91WU5",10.1560830762887,3.9647680842204,81.4641185785067,2.38081033825774e-24,1.96041453873524e-22,39.53236609545
"P70387",9.69977417293699,3.85554406031966,81.3758238543706,2.42708853560457e-24,1.96041453873524e-22,39.5244316978423
"Q99J47",11.7262181593322,4.32534752079581,81.1509360026243,2.54930369146325e-24,1.96041453873524e-22,39.5041364882178
"Q8BUK6",9.76771199319634,3.73420060107915,79.6625497787644,3.54104065370144e-24,2.59339072637753e-22,39.3666300593518
"Q8BHD0",10.9707998963404,4.14538562252331,78.7798656525428,4.3154153429858e-24,3.0168676352328e-22,39.282388573717
