logFC,AveExpr,t,P.Value,adj.P.Val,B,
O88783,12.12507198,2.740607897,95.94778799,2.05E-18,1.18E-16,25.67035604
Q60675,11.76265814,2.559400975,62.0922394,3.43E-16,3.94E-15,23.96295914
Q8CGB6,11.5480347,2.452089254,104.5928557,7.43E-19,8.55E-17,25.89831742
H7BX38,11.54073431,2.448439063,91.40489986,3.63E-18,1.39E-16,25.52804569
Q62087,11.52736496,2.441754384,77.5747332,2.50E-17,5.84E-16,24.96300992
Q08879,11.52698433,2.441564068,77.47699099,2.54E-17,5.84E-16,24.95813346
E9Q3F3,11.52480056,2.440472185,74.57962469,3.97E-17,7.62E-16,24.80665096
A0A140T8T7,11.50360981,2.429876809,62.95667499,2.91E-16,3.94E-15,24.03353852
Q9QZZ6,11.50159878,2.428871294,62.47740807,3.19E-16,3.94E-15,23.99467141
Q9JMG7,11.49237697,2.424260388,55.33473978,1.33E-15,1.27E-14,23.32906499
Q63870,11.48554399,2.420843898,56.49335026,1.04E-15,1.09E-14,23.44914478
P20918,11.44808614,2.402114974,48.56261858,6.13E-15,5.43E-14,22.51067386
E9Q6A6,11.36805564,2.362099727,69.9118572,8.50E-17,1.40E-15,24.53133562
A0A3Q4EGK3,11.35999598,2.358069894,41.26491107,4.13E-14,3.40E-13,21.3414602
P11087,9.505091078,3.443420044,33.71803593,4.38E-13,3.15E-12,19.67557982
Q04857,9.336775261,3.541447036,12.34586979,4.27E-08,1.44E-07,9.178020958
P82198,7.624770227,4.382484377,12.72302334,3.07E-08,1.07E-07,9.514151094
Q02788,7.272011476,4.548372803,19.13797735,3.08E-10,1.54E-09,14.03471651
D3Z598,6.504142864,4.848146563,7.107816156,1.36E-05,2.80E-05,3.222774596
Q01149,6.483975146,4.8942156,10.48020621,2.53E-07,7.67E-07,7.357756579
B7ZNH7,6.44857458,4.933916042,21.77588054,7.00E-11,3.84E-10,15.41374825
P54320,6.201184127,5.100592064,40.66236518,4.91E-14,3.77E-13,21.22795043
Q62507,6.024454908,5.155484132,25.13424122,1.34E-11,8.09E-11,16.89212162
Q80YX1,5.788731619,5.286602255,27.4683623,4.77E-12,3.05E-11,17.77213928
Q9QZS0,5.469020358,5.218012479,13.74397654,1.30E-08,4.83E-08,10.37692677
A2AX52,5.342859327,5.452781941,11.19983706,1.24E-07,3.95E-07,8.092889182
O35452,5.299528721,5.497685165,15.29718514,3.93E-09,1.61E-08,11.57136127
E9PWQ3,5.230417919,5.491752668,7.58281823,7.22E-06,1.57E-05,3.88466058
A0A087WS56,5.031856603,5.629961864,17.29708688,9.78E-10,4.32E-09,12.93106487
Q91V88,4.961481214,5.533851944,13.81703394,1.23E-08,4.71E-08,10.43617259
Q60847,4.921232959,5.597609399,6.612923652,2.72E-05,4.89E-05,2.501460258
E9Q0S6,4.9174106,5.66892615,17.00681416,1.18E-09,5.05E-09,12.74481833
Q62009,4.704129925,5.83749179,28.81172639,2.74E-12,1.85E-11,18.23238918
P06909,4.666612145,5.697878505,20.46732632,1.43E-10,7.47E-10,14.75676882
P01027,4.665323754,5.646543034,11.80131017,7.00E-08,2.30E-07,8.674810365
A0A1Y7VJW9,4.580035125,5.79091169,10.43300058,2.66E-07,7.84E-07,7.30796705
Q61581,4.548128333,5.822500791,22.93733833,3.85E-11,2.21E-10,15.95666797
Q8BPB5,4.525915703,5.727612238,13.83381569,1.21E-08,4.71E-08,10.44973667
P02463,4.459837282,5.784136331,13.14924672,2.13E-08,7.65E-08,9.882448671
Q06890,4.154629991,5.796948838,6.974965815,1.64E-05,3.19E-05,3.032375321
Q62219,3.899197965,6.110394035,7.87009386,4.99E-06,1.10E-05,4.271047927
Q61292,3.89792076,5.881972812,4.307156685,0.001061914,0.00147682,-1.300591614
P21956,3.858882984,6.068779783,8.113921224,3.67E-06,8.27E-06,4.591053797
E9PV24,3.703447985,6.161830167,6.848094099,1.95E-05,3.74E-05,2.848343322
