logFC,AveExpr,t,P.Value,adj.P.Val,B,
Q922U2,8.646036755,1.001090282,8.525660462,2.21E-06,5.30E-06,5.115448894
Q8VED5,6.973116058,2.695607691,7.464718654,8.44E-06,1.80E-05,3.722810614
P50446,6.748036023,3.328607244,9.40809064,7.96E-07,2.27E-06,6.175665333
Q9R0H5,5.921703909,3.786226902,8.984019578,1.29E-06,3.37E-06,5.676611258
E9Q0F0,5.835604711,4.011652279,8.659968623,1.89E-06,4.71E-06,5.282293948
A2A513,5.308809108,4.127272588,8.289229458,2.95E-06,6.79E-06,4.816742929
P08730,5.133176637,3.75522924,10.4966266,2.49E-07,7.67E-07,7.375029216
Q61781,5.044957972,3.645351785,5.434313326,0.000161537,0.000265383,0.647436549
Q61765,4.278786207,6.075095011,5.108640831,0.000273395,0.000442823,0.101155459
Q9Z2K1,3.863463615,4.203111758,3.345041753,0.00597289,0.007895199,-3.059589055
Q9QWL7,3.546518948,4.628593549,4.282746881,0.001108167,0.001517133,-1.34441685
Q8BFQ1,1.813408556,5.031689575,4.727493667,0.000515685,0.000780312,-0.555880464
Q3U962,1.724648883,6.572659703,6.379755176,3.81E-05,6.75E-05,2.15004477
P34884,1.51006802,6.120106522,4.305021719,0.001065878,0.00147682,-1.304422387
Q91YR9,1.506224604,7.32197819,4.400711175,0.000902442,0.001313682,-1.133177697
Q8BH61,0.898799906,8.230783729,4.384003923,0.000928978,0.00133139,-1.163009247
Q9R0Q7,0.858413384,6.437476893,3.228487315,0.007398573,0.00966859,-3.274535705
