"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q8CGB6",11.548034698001,2.45208925411312,115.127547994671,1.75868782171641e-19,1.33660274450448e-17,27.6198815520442
"O88783",12.1250719834573,2.74060789684128,103.183922502997,6.45603166668143e-19,2.45329203333894e-17,27.3033065020387
"H7BX38",11.5407343149559,2.44843906259059,98.3112218692024,1.14649077400863e-18,2.90444329415521e-17,27.1457783182618
"Q62087",11.5273649568375,2.44175438353137,81.7827727640572,1.01884106497632e-17,1.57430960787571e-16,26.4358404677298
"Q08879",11.5269843260454,2.44156406813533,81.6695260837792,1.03573000518139e-17,1.57430960787571e-16,26.4297893187991
"E9Q3F3",11.5248005603851,2.44047218530521,78.3252598007696,1.70087398720248e-17,2.15444038378981e-16,26.2419751142607
"E9Q6A6",11.3680556442776,2.36209972725142,73.0928656967768,3.86218592720433e-17,4.19323043525041e-16,25.9087165743124
"A0A140T8T7",11.5036098087729,2.42987680949911,65.2555923740955,1.48206469887851e-16,1.36301717374846e-15,25.2987135216743
"Q9QZZ6",11.5015987786547,2.42887129443999,64.7275863316395,1.63188509370572e-16,1.36301717374846e-15,25.2519348747083
"Q60675",11.7626581393708,2.55940097479802,64.2141118778401,1.79344364966903e-16,1.36301717374846e-15,25.2056719944575
"Q63870",11.4855439860488,2.42084389813703,58.1930452964899,5.75910499385689e-16,3.97901799575567e-15,24.6005659897519
"Q9JMG7",11.4923769661327,2.42426038817898,56.9378693545054,7.45631658881713e-16,4.72233383958418e-15,24.4582271160485
"P20918",11.4480861372049,2.40211497371509,49.694009573918,3.73351012474603e-15,2.18266745754383e-14,23.502257695955
"P54320",6.20118412706398,5.10059206353199,42.7580526254683,2.20788421967854e-14,1.19856571925407e-13,22.3146298835073
"A0A3Q4EGK3",11.359995977993,2.35806989410912,42.0131300559666,2.71727932636138e-14,1.37675485868976e-13,22.167185199813
"P11087",9.50509107823964,3.44342004374093,34.3074279277362,2.96431308851141e-13,1.40804871704292e-12,20.3486037480654
"Q62009",4.70412992493818,5.83749178963933,30.1124149858154,1.37390198544151e-12,6.14215005256203e-12,19.0748920309133
"Q80YX1",5.78873161945102,5.28660225508752,28.2439837020216,2.91300203763622e-12,1.22993419366863e-11,18.4241577818404
"Q62507",6.02445490838462,5.15548413192888,25.7037807256767,8.7795138484889e-12,3.51180553939556e-11,17.4406735929288
"Q61581",4.54812833264523,5.82250079101866,23.6590026135306,2.31042406911123e-11,8.77961146262268e-11,16.5532259977371
"B7ZNH7",6.4485745804918,4.93391604192649,22.1291656136039,5.03032760784549e-11,1.82049951522027e-10,15.8245654891714
"P06909",4.66661214521236,5.69787850490204,20.9717809749714,9.38479658140464e-11,3.24202063721251e-10,15.2317842729996
"O35206",2.70627787432281,6.71420542595573,20.2072966929846,1.44287915048375e-10,4.76777458420717e-10,14.8187200003791
"Q02788",7.2720114763292,4.5483728030826,19.3580949311612,2.37002616475163e-10,7.50508285504682e-10,14.3381933243925
"Q5SSZ5",2.88192760026284,6.57205355114516,18.5846027653403,3.79286236423867e-10,1.15303015872855e-09,13.8792141052249
"A0A087WS56",5.03185660346281,5.62996186362655,17.5853088367251,7.16033310268158e-10,2.09302044539923e-09,13.2537198691561
"E9Q0S6",4.91741060043811,5.66892615033374,17.2928158487246,8.67918875269487e-10,2.44303090816596e-09,13.063242358789
"O35452",5.29952872068373,5.49768516546204,15.4957031194961,3.03704472097634e-09,8.24340709979291e-09,11.8116265956659
"Q8BPB5",4.52591570285534,5.72761223829962,14.0280742705567,9.35962083925123e-09,2.44874345086984e-08,10.6722209269459
"Q91V88",4.96148121448358,5.53385194370135,13.9879709157834,9.66609256922305e-09,2.44874345086984e-08,10.639425285119
"Q9QZS0",5.46902035809184,5.21801247878602,13.8932740273035,1.04336202759736e-08,2.55791980959352e-08,10.5616125158908
"P02463",4.45983728191886,5.7841363313045,13.3248848998756,1.66705888814932e-08,3.95926485935463e-08,10.0832931372493
"P82198",7.62477022667919,4.38248437699376,12.8145207258424,2.57833700444942e-08,5.93798825267138e-08,9.63657949840209
"Q04857",9.3367752605757,3.54144703564087,12.4214510525317,3.64552116409176e-08,8.14881201385217e-08,9.2807695998239
"P01027",4.66532375412635,5.64654303388767,11.9305328019794,5.6954947775917e-08,1.23673600884848e-07,8.82119636741574
"A2AX52",5.34285932735805,5.45278194096291,11.2990699413099,1.03532836831465e-07,2.1856932219976e-07,8.20367651888358
"Q01149",6.4839751464298,4.89421559982819,10.5537123901149,2.17586714307077e-07,4.44034059226567e-07,7.43353277695729
"A0A1Y7VJW9",4.58003512522242,5.7909116901555,10.5340668953496,2.22017029613284e-07,4.44034059226567e-07,7.41259410237904
"P04202",1.25006210611282,7.36961987152596,10.0309219160956,3.76062821072241e-07,7.32840369268983e-07,6.86451932946975
"Q99M74",2.44170357812256,6.49916856825316,9.53911850043859,6.42817306059693e-07,1.22135288151342e-06,6.30586565095108
"P27005",3.45711368790573,6.10111894369977,9.38492054070062,7.63909539707758e-07,1.41602743945828e-06,6.1258086946487
"P07724",2.54292689861547,6.45429181710805,8.86165997645418,1.39551287106724e-06,2.5252137666931e-06,5.49648920716126
"Q8K0E8",3.4370197466257,6.30391252833138,8.69517640730159,1.70006730283354e-06,3.00477011663602e-06,5.29011995457519
"P08207",2.48485912817288,6.6492385034426,8.64241202500002,1.81090242750906e-06,3.12792237478837e-06,5.22407673363602
"P21956",3.85888298402598,6.06877978344902,8.18604009456415,3.16566617558254e-06,5.34645842987274e-06,4.63969249406768
"Q62219",3.89919796491043,6.11039403543551,7.9372064761493,4.33399767347024e-06,7.16051789529866e-06,4.31082239834237
"E9PWQ3",5.23041791895245,5.4917526684814,7.63200343549024,6.43294045500953e-06,1.04022015868239e-05,3.89720272348641
"P50608",2.86989012654536,6.56666703573337,7.47054478751426,7.96293415354257e-06,1.26079790764424e-05,3.67370400158194
"D3Z598",6.50414286392985,4.84814656320646,7.14727333796765,1.23236477060911e-05,1.88612432737483e-05,3.21620968236883
"E9QPX1",2.90051915750898,6.43943084363258,7.14225697098847,1.24087126800975e-05,1.88612432737483e-05,3.2090037117983
"P28665",3.15299640017803,5.7071782602014,7.04979927009786,1.40940401201426e-05,2.10028833162909e-05,3.07559715071137
"Q06890",4.15462999127299,5.79694883814888,7.02537238191769,1.45789495159613e-05,2.13076954464049e-05,3.04016362637797
"E9PV24",3.70344798503595,6.16183016719374,6.90184193068832,1.73191203578827e-05,2.48349650414921e-05,2.85975861254752
"F8VQJ3",3.0014208447495,6.39765158934344,6.87522782878545,1.79784596967949e-05,2.53030173510447e-05,2.82062485472645
"Q61001",3.51375443770072,6.04561004530277,6.8348627459573,1.90300091998953e-05,2.62960127125826e-05,2.76109042216995
"D3Z6Q9",2.16164741984067,6.26972712494138,6.78708623457316,2.03599569536951e-05,2.76313701514434e-05,2.6903421120741
"Q60847",4.92123295884545,5.59760939865257,6.65379807127231,2.46212125408991e-05,3.28282833878654e-05,2.4913377176661
"O08999",1.52068655039503,6.6015876819913,6.49711506116412,3.08767789377118e-05,4.04592275735534e-05,2.25431516230491
"Q99MQ4",2.21319362426562,6.74709296939469,6.35036766585333,3.82837529890831e-05,4.93146648672934e-05,2.02927075810234
