"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P08730",5.13317663749384,3.75522924047933,9.97008462149755,2.28441055797934e-07,3.88349794856488e-06,7.45456846511063
"P50446",6.74803602309099,3.32860724390374,9.35295393682541,4.69581817054901e-07,3.99144544496666e-06,6.77340928016462
"Q9R0H5",5.92170390934789,3.78622690239271,8.86395428811316,8.53338664140092e-07,4.24694931115772e-06,6.20293094685819
"Q922U2",8.64603675450076,1.00109028236302,8.65697380890867,1.10700823967099e-06,4.24694931115772e-06,5.95284947535533
"E9Q0F0",5.83560471097887,4.01165227925819,8.56214694674515,1.2491027385758e-06,4.24694931115772e-06,5.83651323295404
"A2A513",5.30880910790051,4.12727258794334,8.15512898961017,2.1212645620576e-06,6.01024959249654e-06,5.32425827369152
"Q8VED5",6.97311605759578,2.69560769146241,7.55057584702582,4.82520591177315e-06,1.17183572143062e-05,4.52320095412203
"Q61781",5.04495797216936,3.64535178530831,5.49507747316351,0.00011210756782484,0.000238228581627786,1.4093629346426
"Q3U962",1.72464888268598,6.57265970254613,5.17708228524964,0.000192083308045847,0.000350547078034605,0.872156438532856
"Q61765",4.27878620659492,6.07509501143833,5.13579462886459,0.000206204163549768,0.000350547078034605,0.801361200508751
"Q9QWL7",3.54651894815631,4.62859354864841,4.30243656752539,0.000905536632683143,0.00134188229028945,-0.674271742237264
"Q8BFQ1",1.81340855564529,5.03168957496431,4.27782517023763,0.000947211028439614,0.00134188229028945,-0.719052175534425
"Q91YR9",1.50622460352654,7.32197818995774,3.86505378866961,0.00203349976725383,0.00265919200333194,-1.47769823051002
"P34884",1.5100680202998,6.12010652236045,3.8070049242964,0.00226703375610555,0.00275282670384246,-1.58532261973521
"Q9Z2K1",3.86346361471872,4.203111758265,3.41352178899951,0.00476627593422916,0.00540177939212638,-2.31788320199837
"Q8BH61",0.898799905815332,8.23078372868483,3.13554231852889,0.00808968232246356,0.00859528746761753,-2.83512708612142
"Q9R0Q7",0.8584133841575,6.43747689299409,2.60286421649635,0.0222326144708093,0.0222326144708093,-3.8085613891141
