"Pathway","pval_up","pval_dn"
"1","Keratinization",1,1
"2","Formation of the cornified envelope",1,1
"3","Cell surface interactions at the vascular wall",1,1
"4","Neutrophil degranulation",1,1
"5","Collagen degradation",1,1
"6","Extracellular matrix organization",1,1
"7","Collagen biosynthesis and modifying enzymes",1,1
"8","Signaling by PDGF",1,1
"9","Assembly of collagen fibrils and other multimeric structures",1,1
"10","Integrin cell surface interactions",1,1
"11","Non-integrin membrane-ECM interactions",1,1
"12","ECM proteoglycans",1,1
"13","NCAM1 interactions",1,1
"14","MET activates PTK2 signaling",1,1
"15","Collagen chain trimerization",1,1
"16","Type I hemidesmosome assembly",1,1
"17","Platelet degranulation ",1,1
"18","Common Pathway of Fibrin Clot Formation",1,1
"19","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",1,1
"20","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",1,1
"21","HSF1 activation",1,1
"22","Attenuation phase",1,1
"23","Aryl hydrocarbon receptor signalling",1,1
"24","ESR-mediated signaling",1,1
"25","Estrogen-dependent gene expression",1,1
