"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P61750",14.1357092861044,1.38997500048077,190.184207872652,1.06768287664852e-29,4.32589512188758e-27,43.5065675893137
"P17156",14.1357092861044,1.38997500048077,190.184207872652,1.06768287664852e-29,4.32589512188758e-27,43.5065675893137
"Q5SV41",14.1357092861044,1.38997500048077,190.184207872652,1.06768287664852e-29,4.32589512188758e-27,43.5065675893137
"P97376",14.1357092861044,1.38997500048077,190.184207872652,1.06768287664852e-29,4.32589512188758e-27,43.5065675893137
"Q80XQ2",14.1357092861044,1.38997500048077,190.184207872652,1.06768287664852e-29,4.32589512188758e-27,43.5065675893137
"Q9Z1A1",14.1357092861044,1.38997500048077,190.184207872652,1.06768287664852e-29,4.32589512188758e-27,43.5065675893137
"A0A075B5W6",-13.6906527993485,5.31568655104758,-184.196343119699,1.83726331294037e-29,6.38055301965436e-27,43.4259280710965
"Q8C5W3",13.1340515624362,1.05608909259136,168.312316692102,8.48482480245164e-29,2.57832613684499e-26,43.1735252570254
"A0A338P7A0",12.1845654524462,5.30759761760447,163.933190895763,1.32700725783335e-28,3.58439404865875e-26,43.0922548681022
"F8WIT2",-12.0620461377205,5.28022508787202,-162.284795449267,1.57518418237608e-28,3.82927274735625e-26,43.0601498070726
"Q8VI75",13.1318475933165,1.05535443621814,158.731063127346,2.29327856382701e-28,5.06814562605769e-26,42.9879251693517
"P11531",11.5494335791249,0.527883098154274,149.512800128683,6.32734322967069e-28,1.25804372704018e-25,42.7792972565173
"Q8K2Y3",11.8115409133942,0.615252209577376,148.97324487982,6.7275065617122e-28,1.25804372704018e-25,42.7660384269945
"Q9CY21",11.5489532976732,0.527723004337039,147.788039890178,7.70364478696253e-28,1.33768289122185e-25,42.7364731783208
"D3YVX4",11.5481809924228,0.527465569253564,144.203699693524,1.16831310740768e-27,1.82074967122728e-25,42.6432265834609
"Q8CGB6",11.548034698001,0.527416804446293,143.988014994562,1.19835437020307e-27,1.82074967122728e-25,42.637424677802
"Q61503",11.5474298082266,0.527215174521508,141.484108954522,1.61364578525118e-27,2.30751347290918e-25,42.5684060264831
"Q61249",13.1261369534593,1.05345088959908,139.751319908946,1.98874342007626e-27,2.48168835944347e-25,42.5187863999582
"P45591",11.4448630380376,3.91606847750832,139.667640662705,2.00904937208802e-27,2.48168835944347e-25,42.5163504502686
"A0A087WPW5",11.546821095955,0.527012270430975,139.534943258481,2.04170165318261e-27,2.48168835944347e-25,42.5124799342106
"Q8K411",-13.125692210706,1.05330264201462,-138.532465121819,2.30729449372556e-27,2.6546843857956e-25,42.4829347498091
"Q9JHS9",12.1291974243704,0.721137713236096,138.202833000292,2.40242930841231e-27,2.6546843857956e-25,42.4731007714525
"Q8BGU5",11.5463017558712,0.526839157069715,137.620256485582,2.58086824647706e-27,2.72786552486336e-25,42.4555744432614
"A0A0G2JFX7",12.5159304533063,4.7196690912937,136.376526916937,3.0104774842971e-27,3.04936281846928e-25,42.4175222317293
"O54784",11.8065530762434,0.613589597193775,132.402765404375,4.97096137528526e-27,4.83376284132739e-25,42.2898670656885
"O35609",11.5443113266663,0.52617568066806,131.645405912554,5.47887433314829e-27,5.12274750149365e-25,42.2644357044027
"P70336",11.8065280692711,0.613581261536342,131.157761762267,5.83477651837524e-27,5.25345989487785e-25,42.2478665104744
"Q3TC93",11.5444299971483,0.52621523749539,130.601729968112,6.27067574796781e-27,5.44429026546776e-25,42.2287848934916
"E0CX65",11.5438520642355,0.526022593191129,130.075325631926,6.71521585087224e-27,5.4528771236641e-25,42.2105323105762
"A0A2I3BQV4",11.8061209871786,0.613445567505495,130.059395655318,6.72917785725722e-27,5.4528771236641e-25,42.2099770818015
"B1ASP2",11.5220397801417,3.20923928601206,129.764290431653,6.99346210106965e-27,5.48422786054849e-25,42.1996606667915
"Q62470",11.5431286814337,0.525781465590525,128.014838001817,8.80358308917768e-27,6.51422745452913e-25,42.1372850732818
