,celltype1,celltype2,interacting_pair,means
1,LSK,LSK,COL12A1_integrin_a1b1_complex,5.33
2,LSK,LSK,COL12A1_integrin_a2b1_complex,0.1
3,LSK,LSK,COL14A1_integrin_a1b1_complex,5.33
4,LSK,LSK,COL14A1_integrin_a2b1_complex,0.1
5,LSK,LSK,COL15A1_integrin_a1b1_complex,5.33
6,LSK,LSK,COL15A1_integrin_a2b1_complex,0.1
7,LSK,LSK,COL18A1_integrin_a1b1_complex,5.33
8,LSK,LSK,COL18A1_integrin_a2b1_complex,0.1
9,LSK,LSK,COL1A1_integrin_a1b1_complex,5.33
10,LSK,LSK,COL1A1_integrin_a2b1_complex,0.1
11,LSK,LSK,COL1A2_integrin_a1b1_complex,5.33
12,LSK,LSK,COL1A2_integrin_a2b1_complex,0.1
13,LSK,LSK,COL4A1_integrin_a1b1_complex,5.33
14,LSK,LSK,COL4A1_integrin_a2b1_complex,0.1
15,LSK,LSK,COL4A3_integrin_a1b1_complex,5.33
16,LSK,LSK,COL4A3_integrin_a2b1_complex,0.1
17,LSK,LSK,COL6A1_integrin_a1b1_complex,5.33
18,LSK,LSK,COL6A1_integrin_a2b1_complex,0.1
19,LSK,LSK,COL6A2_integrin_a1b1_complex,5.33
20,LSK,LSK,COL6A2_integrin_a2b1_complex,0.1
21,LSK,LSK,COL6A3_integrin_a1b1_complex,5.33
22,LSK,LSK,COL6A3_integrin_a2b1_complex,0.1
23,LSK,LSK,COL6A5_integrin_a1b1_complex,5.33
24,LSK,LSK,COL6A5_integrin_a2b1_complex,0.1
25,LSK,LSK,COL6A6_integrin_a1b1_complex,5.33
26,LSK,LSK,COL6A6_integrin_a2b1_complex,0.1
27,LSK,LSK,COL7A1_integrin_a1b1_complex,5.33
28,LSK,LSK,COL7A1_integrin_a2b1_complex,0.1
29,LSK,LSK,FN1_integrin_a2Bb3_complex,6.908
30,LSK,LSK,FN1_integrin_a2b1_complex,0.1
31,LSK,LSK,FN1_integrin_a3b1_complex,0.1
32,LSK,LSK,FN1_integrin_a5b1_complex,4.675
33,LSK,LSK,FN1_integrin_a8b1_complex,9.492
34,LSK,LSK,LAMC1_integrin_a2b1_complex,0.1
35,LSK,ST,COL12A1_integrin_a1b1_complex,0.1
36,LSK,ST,COL12A1_integrin_a2b1_complex,0.1
37,LSK,ST,COL14A1_integrin_a1b1_complex,0.1
38,LSK,ST,COL14A1_integrin_a2b1_complex,0.1
39,LSK,ST,COL15A1_integrin_a1b1_complex,0.1
40,LSK,ST,COL15A1_integrin_a2b1_complex,0.1
41,LSK,ST,COL18A1_integrin_a1b1_complex,0.1
42,LSK,ST,COL18A1_integrin_a2b1_complex,0.1
43,LSK,ST,COL1A1_integrin_a1b1_complex,0.1
44,LSK,ST,COL1A1_integrin_a2b1_complex,0.1
45,LSK,ST,COL1A2_integrin_a1b1_complex,0.1
46,LSK,ST,COL1A2_integrin_a2b1_complex,0.1
47,LSK,ST,COL4A1_integrin_a1b1_complex,0.1
48,LSK,ST,COL4A1_integrin_a2b1_complex,0.1
49,LSK,ST,COL4A3_integrin_a1b1_complex,0.1
50,LSK,ST,COL4A3_integrin_a2b1_complex,0.1
51,LSK,ST,COL6A1_integrin_a1b1_complex,0.1
52,LSK,ST,COL6A1_integrin_a2b1_complex,0.1
53,LSK,ST,COL6A2_integrin_a1b1_complex,0.1
54,LSK,ST,COL6A2_integrin_a2b1_complex,0.1
55,LSK,ST,COL6A3_integrin_a1b1_complex,0.1
56,LSK,ST,COL6A3_integrin_a2b1_complex,0.1
57,LSK,ST,COL6A5_integrin_a1b1_complex,0.1
58,LSK,ST,COL6A5_integrin_a2b1_complex,0.1
59,LSK,ST,COL6A6_integrin_a1b1_complex,0.1
60,LSK,ST,COL6A6_integrin_a2b1_complex,0.1
61,LSK,ST,COL7A1_integrin_a1b1_complex,0.1
62,LSK,ST,COL7A1_integrin_a2b1_complex,0.1
63,LSK,ST,FN1_integrin_a2Bb3_complex,0.1
64,LSK,ST,FN1_integrin_a2b1_complex,0.1
65,LSK,ST,FN1_integrin_a3b1_complex,0.1
66,LSK,ST,FN1_integrin_a5b1_complex,0.1
67,LSK,ST,FN1_integrin_a8b1_complex,0.1
68,LSK,ST,LAMC1_integrin_a2b1_complex,0.1
69,LSK,TB,COL12A1_integrin_a1b1_complex,0.1
70,LSK,TB,COL12A1_integrin_a2b1_complex,0.1
