gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	LSK	ST	TB
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC0B86B7CED	COL12A1	0.1	26.2	268.567
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0CCCF9A7F	COL14A1	0.1	3.617	287.5
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0E85E1FB0	COL15A1	0.1	41.1	271.633
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC04BD52124	COL18A1	0.1	39.317	238.317
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC04BCFC59C	COL1A1	0.1	0.433	298.95
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC03D0A4AD2	COL1A2	0.1	4.517	291.8
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC03515B178	COL4A1	0.1	12.267	282.933
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0926FDACC	COL4A3	0.1	5.6	294.183
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0CCB0D955	COL6A1	0.1	0.933	298.533
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC01A5C5096	COL6A2	0.1	2.267	294.367
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC084C79E20	COL6A3	0.1	18.6	277.783
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC0A6F94686	COL6A5	0.1	0.1	299.983
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC00D0AFED0	COL6A6	0.1	0.1	270.767
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC05640277E	COL7A1	0.1	0.1	300.0
FN1	P02751	False	FINC_HUMAN		CPI-SC01D1C56CC	FN1	0.1	9.433	284.317
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0A460766C	LAMC1	0.1	38.783	240.1
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC0E83A4B71	COL12A1	0.1	26.2	268.567
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0AB5FBF10	COL14A1	0.1	3.617	287.5
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC027893337	COL15A1	0.1	41.1	271.633
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0C739EDCE	COL18A1	0.1	39.317	238.317
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC08DBCCFF0	COL1A1	0.1	0.433	298.95
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC09DB9D20A	COL1A2	0.1	4.517	291.8
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0744E13CB	COL4A1	0.1	12.267	282.933
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0886D58EF	COL4A3	0.1	5.6	294.183
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0549A759B	COL6A1	0.1	0.933	298.533
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F9FB6DCB	COL6A2	0.1	2.267	294.367
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECDD1074	COL6A3	0.1	18.6	277.783
