Checked,Protein FDR Confidence: Combined,Master,Accession,Description,LSK,LSK,LSK,LSK,LSK,LSK,ST,ST,ST,ST,ST,ST,TB,TB,TB,TB,TB,TB,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (Grouped) CV [%]: LSK SPI,Abundances (Grouped) CV [%]: LSK SPII,Abundances (Grouped) CV [%]: LSK SPIII,Abundances (Grouped) CV [%]: LSK SPIV,Abundances (Grouped) CV [%]: LSK SPV,Abundances (Grouped) CV [%]: LSK SPVI,Abundances (Grouped) CV [%]: ST SPI,Abundances (Grouped) CV [%]: ST SPII,Abundances (Grouped) CV [%]: ST SPIII,Abundances (Grouped) CV [%]: ST SPIV,Abundances (Grouped) CV [%]: ST SPV,Abundances (Grouped) CV [%]: ST SPVI,Abundances (Grouped) CV [%]: TB SPI,Abundances (Grouped) CV [%]: TB SPII,Abundances (Grouped) CV [%]: TB SPIII,Abundances (Grouped) CV [%]: TB SPIV,Abundances (Grouped) CV [%]: TB SPV,Abundances (Grouped) CV [%]: TB SPVI,"Found in Sample: [S1] F1: Sample, LSK SPI","Found in Sample: [S2] F2: Sample, LSK SPI","Found in Sample: [S3] F3: Sample, LSK SPI","Found in Sample: [S4] F4: Sample, LSK SPII","Found in Sample: [S5] F5: Sample, LSK SPII","Found in Sample: [S6] F6: Sample, LSK SPII","Found in Sample: [S7] F7: Sample, LSK SPIII","Found in Sample: [S8] F8: Sample, LSK SPIII","Found in Sample: [S9] F9: Sample, LSK SPIII","Found in Sample: [S10] F10: Sample, LSK SPIV","Found in Sample: [S11] F11: Sample, LSK SPIV","Found in Sample: [S12] F12: Sample, LSK SPIV","Found in Sample: [S13] F13: Sample, LSK SPV","Found in Sample: [S14] F14: Sample, LSK SPV","Found in Sample: [S15] F15: Sample, LSK SPV","Found in Sample: [S16] F16: Sample, LSK SPVI","Found in Sample: [S17] F17: Sample, LSK SPVI","Found in Sample: [S18] F18: Sample, LSK SPVI","Found in Sample: [S19] F19: Sample, ST SPI","Found in Sample: [S20] F20: Sample, ST SPI","Found in Sample: [S21] F21: Sample, ST SPI","Found in Sample: [S22] F22: Sample, ST SPII","Found in Sample: [S23] F23: Sample, ST SPII","Found in Sample: [S24] F24: Sample, ST SPII","Found in Sample: [S25] F25: Sample, ST SPIII","Found in Sample: [S26] F26: Sample, ST SPIII","Found in Sample: [S27] F27: Sample, ST SPIII","Found in Sample: [S28] F28: Sample, ST SPIV","Found in Sample: [S29] F29: Sample, ST SPIV","Found in Sample: [S30] F30: Sample, ST SPIV","Found in Sample: [S31] F31: Sample, ST SPV","Found in Sample: [S32] F32: Sample, ST SPV","Found in Sample: [S33] F33: Sample, ST SPV","Found in Sample: [S34] F34: Sample, ST SPVI","Found in Sample: [S35] F35: Sample, ST SPVI","Found in Sample: [S36] F36: Sample, ST SPVI","Found in Sample: [S37] F37: Control, TB SPI","Found in Sample: [S38] F38: Control, TB SPI","Found in Sample: [S39] F39: Control, TB SPI","Found in Sample: [S40] F40: Control, TB SPII","Found in Sample: [S41] F41: Control, TB SPII","Found in Sample: [S42] F42: Control, TB SPII","Found in Sample: [S43] F43: Control, TB SPIII","Found in Sample: [S44] F44: Control, TB SPIII","Found in Sample: [S45] F45: Control, TB SPIII","Found in Sample: [S46] F46: Control, TB SPIV","Found in Sample: [S47] F47: Control, TB SPIV","Found in Sample: [S48] F48: Control, TB SPIV","Found in Sample: [S49] F49: Control, TB SPV","Found in Sample: [S50] F50: Control, TB SPV","Found in Sample: [S51] F51: Control, TB SPV","Found in Sample: [S52] F52: Control, TB SPVI","Found in Sample: [S53] F53: Control, TB SPVI","Found in Sample: [S54] F54: Control, TB SPVI",# Protein Groups,Modifications
TRUE,High,IsMasterProtein,P11087,Collagen alpha-1(I) chain,0.3,0.7,0.7,0.9,0.6,0.7,0.3,0.5,0.4,0.2,0.6,0.6,294.9,303.5,226.4,249.3,300,419.6,0,47.312,6,7,134,7,1453,137.9,5.85,15.03,7,0,81.32,57.04,2.78,67.25,22.9,46.62,,47.56,70.3,28.27,36.55,95.61,17.59,13.9,9.15,11.15,6.24,6.31,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,P02463,Collagen alpha-1(IV) chain,0.4,0.8,3.4,12.9,1.4,10,14,7.9,11.1,8.4,14,18.2,427.3,369.3,312.2,288.1,110.6,190.1,0,87.677,7,7,116,6,1669,160.6,8.24,75.37,7,1,,99.52,73.93,30.86,136.57,83.29,18.55,16.43,32.89,44.4,41.77,50.03,6.2,16.01,3.09,4.1,3.85,4.51,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,Q04857,Collagen alpha-1(VI) chain,1.2,0.9,0.68,0.7,0.2,0.4,0.1,0.4,1.2,0.1,0.6,3.2,254.9,359.6,275.8,319.3,324.1,257.5,0,245.801,38,29,628,29,1025,108.4,5.36,517.94,29,0,15.38,24.38,,74.51,75.6,29.77,92.74,87.21,76.97,26.32,70.11,60.18,5.25,2.13,1.43,0.57,1.31,1.12,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,Q63870,Collagen alpha-1(VII) chain,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,187.4,303.1,307.2,262.4,494.3,245.6,0,11.53,2,3,6,3,2944,295.1,6.34,0,3,0,,,,,,,,,,,,,26.81,8.93,46.55,6.1,9.56,1.27,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,High,High,High,Peak Found,Peak Found,High,1,
TRUE,High,IsMasterProtein,Q60847,Collagen alpha-1(XII) chain,4.4,2.5,6.3,7.3,9,1.9,130.6,3.1,5.6,5.6,5,7.3,231.7,294.8,221,264.3,299.8,299.8,0,248.691,21,40,358,40,3120,340,5.64,325.47,40,0,107.17,98.32,97.55,40.74,84.44,113.03,55.41,97.2,20.1,,46.26,89.43,3.17,5.11,4.34,2.11,4.37,8.15,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,B7ZNH7,Collagen alpha-1(XIV) chain,9.8,7.4,12.5,8.4,9,6.1,1.7,3.2,5.5,3.1,2.2,6,315.9,333.1,237.9,265.1,300.2,272.8,0,228.988,34,41,375,41,1794,192.6,5.1,170.63,41,0,70.65,5.6,15.87,14.46,22.89,12.31,59.42,76.39,52.87,36.68,14.12,17.47,5.05,3.67,4.97,2.19,0.36,0.46,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,O35206,Collagen alpha-1(XV) chain ,64.6,64.6,23.2,64.6,106,64.6,41.1,41.1,41.1,41.1,41.1,41.1,292.4,325,256.8,251.3,305.5,198.8,0,14.439,4,3,16,3,1367,140.4,4.89,0,3,0,,,,,,,,,,,,,6.71,13.26,10.6,4.32,7.57,13.8,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,Peak Found,High,Peak Found,High,High,High,High,High,Peak Found,High,1,
TRUE,High,IsMasterProtein,E9QPX1,Collagen alpha-1(XVIII) chain,8.4,11.3,22.4,26.8,30.5,34.8,11.5,21.2,58.6,30.7,87,26.9,241.4,268.3,223.6,252.6,247.5,196.5,0,45.884,8,10,65,10,1774,182.2,5.71,26.81,10,0,66.98,13.69,29.2,25.47,35.66,19.24,58.64,22.29,6.46,35.1,19.35,10.88,8.52,10.91,12.14,11.11,11.77,10.71,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,Q01149,Collagen alpha-2(I) chain,4.3,4.3,2.2,3.2,3.6,4.3,0.5,4.1,6,1.6,4.9,10,360.1,244,182.4,374.8,360.4,229.1,0,57.52,11,11,68,11,1372,129.5,9.19,23.86,11,0,30.89,22.23,5.65,39.01,39.72,21.41,32.08,13.71,42.73,50.69,71.72,6.39,21.18,10.98,13.2,29.38,32.55,29.06,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,P08122,Collagen alpha-2(IV) chain,1.7,90.3,65.1,66.9,90.9,3.7,191.1,74.6,71.8,88.5,1.2,115.8,180.3,193.9,151.3,152.7,142,118.4,0,68.097,11,10,88,10,1707,167.2,8.48,78.21,10,0,55,84.59,86.25,87.96,27.68,53.56,17.23,85.58,86.19,87.53,29.6,81.68,11.04,5.59,5.77,0.83,0.82,5.21,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,Peak Found,High,High,High,High,High,1,
