Checked,Protein FDR Confidence: Combined,Master,Accession,Description,LSK,LSK,LSK,LSK,LSK,LSK,ST,ST,ST,ST,ST,ST,TB,TB,TB,TB,TB,TB,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (Grouped) CV [%]: LSK SPI,Abundances (Grouped) CV [%]: LSK SPII,Abundances (Grouped) CV [%]: LSK SPIII,Abundances (Grouped) CV [%]: LSK SPIV,Abundances (Grouped) CV [%]: LSK SPV,Abundances (Grouped) CV [%]: LSK SPVI,Abundances (Grouped) CV [%]: ST SPI,Abundances (Grouped) CV [%]: ST SPII,Abundances (Grouped) CV [%]: ST SPIII,Abundances (Grouped) CV [%]: ST SPIV,Abundances (Grouped) CV [%]: ST SPV,Abundances (Grouped) CV [%]: ST SPVI,Abundances (Grouped) CV [%]: TB SPI,Abundances (Grouped) CV [%]: TB SPII,Abundances (Grouped) CV [%]: TB SPIII,Abundances (Grouped) CV [%]: TB SPIV,Abundances (Grouped) CV [%]: TB SPV,Abundances (Grouped) CV [%]: TB SPVI,"Found in Sample: [S1] F1: Sample, LSK SPI","Found in Sample: [S2] F2: Sample, LSK SPI","Found in Sample: [S3] F3: Sample, LSK SPI","Found in Sample: [S4] F4: Sample, LSK SPII","Found in Sample: [S5] F5: Sample, LSK SPII","Found in Sample: [S6] F6: Sample, LSK SPII","Found in Sample: [S7] F7: Sample, LSK SPIII","Found in Sample: [S8] F8: Sample, LSK SPIII","Found in Sample: [S9] F9: Sample, LSK SPIII","Found in Sample: [S10] F10: Sample, LSK SPIV","Found in Sample: [S11] F11: Sample, LSK SPIV","Found in Sample: [S12] F12: Sample, LSK SPIV","Found in Sample: [S13] F13: Sample, LSK SPV","Found in Sample: [S14] F14: Sample, LSK SPV","Found in Sample: [S15] F15: Sample, LSK SPV","Found in Sample: [S16] F16: Sample, LSK SPVI","Found in Sample: [S17] F17: Sample, LSK SPVI","Found in Sample: [S18] F18: Sample, LSK SPVI","Found in Sample: [S19] F19: Sample, ST SPI","Found in Sample: [S20] F20: Sample, ST SPI","Found in Sample: [S21] F21: Sample, ST SPI","Found in Sample: [S22] F22: Sample, ST SPII","Found in Sample: [S23] F23: Sample, ST SPII","Found in Sample: [S24] F24: Sample, ST SPII","Found in Sample: [S25] F25: Sample, ST SPIII","Found in Sample: [S26] F26: Sample, ST SPIII","Found in Sample: [S27] F27: Sample, ST SPIII","Found in Sample: [S28] F28: Sample, ST SPIV","Found in Sample: [S29] F29: Sample, ST SPIV","Found in Sample: [S30] F30: Sample, ST SPIV","Found in Sample: [S31] F31: Sample, ST SPV","Found in Sample: [S32] F32: Sample, ST SPV","Found in Sample: [S33] F33: Sample, ST SPV","Found in Sample: [S34] F34: Sample, ST SPVI","Found in Sample: [S35] F35: Sample, ST SPVI","Found in Sample: [S36] F36: Sample, ST SPVI","Found in Sample: [S37] F37: Control, TB SPI","Found in Sample: [S38] F38: Control, TB SPI","Found in Sample: [S39] F39: Control, TB SPI","Found in Sample: [S40] F40: Control, TB SPII","Found in Sample: [S41] F41: Control, TB SPII","Found in Sample: [S42] F42: Control, TB SPII","Found in Sample: [S43] F43: Control, TB SPIII","Found in Sample: [S44] F44: Control, TB SPIII","Found in Sample: [S45] F45: Control, TB SPIII","Found in Sample: [S46] F46: Control, TB SPIV","Found in Sample: [S47] F47: Control, TB SPIV","Found in Sample: [S48] F48: Control, TB SPIV","Found in Sample: [S49] F49: Control, TB SPV","Found in Sample: [S50] F50: Control, TB SPV","Found in Sample: [S51] F51: Control, TB SPV","Found in Sample: [S52] F52: Control, TB SPVI","Found in Sample: [S53] F53: Control, TB SPVI","Found in Sample: [S54] F54: Control, TB SPVI",# Protein Groups,Modifications
TRUE,High,IsMasterProtein,P50171,(3R)-3-hydroxyacyl-CoA dehydrogenase OS=Mus musculus OX=10090 GN=Hsd17b8 PE=1 SV=2,101.9,172.4,127.1,101,99.1,167.5,72.6,109.2,123.2,77.3,136.2,88,106.075,83.1,106.075,82.6,103.6,155,0,6.004,6,1,2,1,259,26.6,6.54,4.25,1,0,25.97,13.52,31.96,20.78,6.17,4.68,,19,30.39,20.35,29.52,25.91,,28.87,,44.9,,30.02,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,High,Peak Found,High,1,
TRUE,High,IsMasterProtein,Q8VDP3,[F-actin]-monooxygenase MICAL1 OS=Mus musculus OX=10090 GN=Mical1 PE=1 SV=1,66.4,92.5,104.9,106.4,119.7,126.1,33.5,57.3,53.8,72.54,47.7,170.4,115.2,132.2,153.2,87.8,134.1,198.9,0,11.217,4,3,9,3,1048,116.7,6.05,0,3,0,,4.38,20.27,21.73,30.75,19.32,,42.84,20.75,,18.13,23.68,13.26,42.6,10.65,42.92,34.29,10.5,Not Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Not Found,High,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,High,High,High,Peak Found,High,Peak Found,Peak Found,High,High,High,1,
TRUE,High,IsMasterProtein,Q922H2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Mus musculus OX=10090 GN=Pdk3 PE=1 SV=1",118.2333333,162.1,118.2333333,118.2333333,103.8,88.8,372.7,279.5,279.5,293.5,172.3,279.5,71.5,118.2,103.5,112.3,109.4,91.9,0.003,2.946,4,1,3,1,415,47.9,8.82,0,1,0,,,,,,76.6,,,,,,,51.76,19.79,1.28,15.32,15.47,30.99,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,High,Peak Found,1,
TRUE,High,IsMasterProtein,Q9D6Y9,"1,4-alpha-glucan-branching enzyme OS=Mus musculus OX=10090 GN=Gbe1 PE=1 SV=1",337.7,435.4,337.7,504.7,337.7,73,0.1,0.1,0.1,0.1,0.1,0.1,167.8,103.7,153.7,193.2,157.38,168.5,0.001,3.739,2,1,2,1,702,80.3,6.43,0,1,0,,,,,,,,,,,,,20.07,,,30.82,,27.65,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Peak Found,Peak Found,Not Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,Not Found,Not Found,Not Found,Peak Found,High,High,1,
TRUE,High,IsMasterProtein,Q64433,"10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2",79.1,95.4,115,86.8,89,104.6,70.7,85.1,188.8,95.1,170.3,87,123.5,80,94.1,78.7,74,82.8,0,20.9,43,5,78,5,102,11,8.35,17.41,5,0,13.81,3.92,7.8,6.12,14.71,8.92,17.76,5.71,6.69,6.56,10.94,5.64,7.96,13.87,2.62,5.86,2.92,9.57,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,O08810,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus OX=10090 GN=Eftud2 PE=1 SV=1,75.9,82.1,115,92.6,79.4,58,27.5,89,194.9,83.5,122.3,59.8,115.8,125,118.1,129.4,124.6,107.2,0,77.074,28,18,105,17,971,109.3,5,17.94,18,0,37.26,9.27,9.59,9.68,17.69,12.38,20.81,10.68,6.89,13.4,7.65,31.41,11.59,8.49,5.68,6.75,12.31,7.55,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,Q9CQV8,14-3-3 protein beta/alpha OS=Mus musculus OX=10090 GN=Ywhab PE=1 SV=3,40.9,61.7,61,68,96.5,234.1,118.3,114.6,97.2,35.8,119.8,186.9,66.2,57.2,82,77.3,85.5,197,0,66.429,48,9,92,6,246,28.1,4.83,60.72,9,1,13.96,12.58,22.72,24.64,34.32,10.75,49.44,4.04,11.75,42.69,7.81,19.82,1.93,8.33,8.54,7.42,7.01,5.57,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,High,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,High,Peak Found,Peak Found,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
TRUE,High,IsMasterProtein,P62259,14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1,77.1,107.5,138.3,121.2,121.9,145.2,43.9,83.7,94,39.4,106.5,93.1,108.7,87.4,113.4,98.7,104.1,115.7,0,53.646,44,10,68,9,255,29.2,4.74,28.91,10,0,7.11,6.44,1.72,6.68,5.85,10.52,14.62,11.98,12.66,9.97,22.11,16.85,4.93,2.57,0.83,9.63,8.09,1.59,High,Peak Found,Peak Found,High,High,Peak Found,High,Peak Found,Peak Found,Peak Found,High,Peak Found,High,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,High,Peak Found,Peak Found,High,High,High,High,1,Acetyl [N-Term]
TRUE,High,IsMasterProtein,P68510,14-3-3 protein eta OS=Mus musculus OX=10090 GN=Ywhah PE=1 SV=2,65.4,89,114.5,86.6,85.5,125.7,41.5,362.2,92.3,39.5,131.1,84.7,50.5,96.5,80.1,68.8,66.4,119.7,0,43.139,43,10,52,9,246,28.2,4.89,26.59,10,0,3.47,7.23,24.29,10.59,6.85,2.5,2.59,68.21,11.75,19.5,7.96,5.14,5.73,7.41,24.9,2.51,8.37,37.56,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,High,High,High,High,High,High,Peak Found,Peak Found,High,High,Peak Found,High,High,High,High,1,
TRUE,High,IsMasterProtein,P61982,14-3-3 protein gamma OS=Mus musculus OX=10090 GN=Ywhag PE=1 SV=2,74.4,106.1,112.9,113.5,104.6,119.2,50.3,76.1,89.2,64.8,116.1,78.2,152.3,98.9,104.8,92.9,99.1,146.7,0,36.779,39,7,66,5,247,28.3,4.89,35.71,7,0,20.47,8.08,16.74,17.43,17.82,14.86,14.12,21.87,15.19,5.71,20.94,19.08,20.24,22.14,12.86,21.54,14.66,16.93,High,Peak Found,High,Peak Found,High,High,High,Peak Found,High,High,High,High,Peak Found,High,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,Peak Found,High,High,Peak Found,High,Peak Found,High,High,Peak Found,High,High,High,High,High,1,
